T,Dk,Dv,dtype,mode,status,tensor,max_rel,one_minus_cos,dims
256,64,64,float32,fp32-tf32,ok,fwd out,0.001477,5.96e-08,64×64
256,64,64,float32,fp32-tf32,ok,fwd state,0.0009746,0.0,64×64
256,64,64,float32,fp32-tf32,ok,dq,0.001414,5.96e-08,64×64
256,64,64,float32,fp32-tf32,ok,dk,0.001743,2.384e-07,64×64
256,64,64,float32,fp32-tf32,ok,dv,0.001814,1.192e-07,64×64
256,64,64,float32,fp32-tf32,ok,dg,0.001739,3.576e-07,64×64
256,64,64,float32,fp32-tf32,ok,dbeta,0.00197,2.384e-07,64×64
256,128,128,float32,fp32-tf32,ok,fwd out,0.001535,5.96e-08,128×128
256,128,128,float32,fp32-tf32,ok,fwd state,0.0008036,1.192e-07,128×128
256,128,128,float32,fp32-tf32,ok,dq,0.001447,5.96e-08,128×128
256,128,128,float32,fp32-tf32,ok,dk,0.001473,5.96e-08,128×128
256,128,128,float32,fp32-tf32,ok,dv,0.002102,3.576e-07,128×128
256,128,128,float32,fp32-tf32,ok,dg,0.001403,4.768e-07,128×128
256,128,128,float32,fp32-tf32,ok,dbeta,0.001753,2.384e-07,128×128
256,64,128,float32,fp32-tf32,ok,fwd out,0.001487,1.192e-07,64×128
256,64,128,float32,fp32-tf32,ok,fwd state,0.001136,1.192e-07,64×128
256,64,128,float32,fp32-tf32,ok,dq,0.001507,1.192e-07,64×128
256,64,128,float32,fp32-tf32,ok,dk,0.001836,1.788e-07,64×128
256,64,128,float32,fp32-tf32,ok,dv,0.001894,5.96e-08,64×128
256,64,128,float32,fp32-tf32,ok,dg,0.001647,3.576e-07,64×128
256,64,128,float32,fp32-tf32,ok,dbeta,0.001721,2.384e-07,64×128
1024,64,64,float32,fp32-tf32,ok,fwd out,0.001793,1.192e-07,64×64
1024,64,64,float32,fp32-tf32,ok,fwd state,0.0008515,1.788e-07,64×64
1024,64,64,float32,fp32-tf32,ok,dq,0.001421,5.96e-08,64×64
1024,64,64,float32,fp32-tf32,ok,dk,0.001697,3.576e-07,64×64
1024,64,64,float32,fp32-tf32,ok,dv,0.002037,1.192e-07,64×64
1024,64,64,float32,fp32-tf32,ok,dg,0.001623,4.172e-07,64×64
1024,64,64,float32,fp32-tf32,ok,dbeta,0.001991,1.192e-07,64×64
1024,128,128,float32,fp32-tf32,ok,fwd out,0.001708,1.192e-07,128×128
1024,128,128,float32,fp32-tf32,ok,fwd state,0.0008346,1.192e-07,128×128
1024,128,128,float32,fp32-tf32,ok,dq,0.001663,1.192e-07,128×128
1024,128,128,float32,fp32-tf32,ok,dk,0.001432,1.788e-07,128×128
1024,128,128,float32,fp32-tf32,ok,dv,0.002223,2.384e-07,128×128
1024,128,128,float32,fp32-tf32,ok,dg,0.001776,4.172e-07,128×128
1024,128,128,float32,fp32-tf32,ok,dbeta,0.001931,1.788e-07,128×128
1024,64,128,float32,fp32-tf32,ok,fwd out,0.001521,1.192e-07,64×128
1024,64,128,float32,fp32-tf32,ok,fwd state,0.0009255,5.96e-08,64×128
1024,64,128,float32,fp32-tf32,ok,dq,0.001578,1.192e-07,64×128
1024,64,128,float32,fp32-tf32,ok,dk,0.001529,2.384e-07,64×128
1024,64,128,float32,fp32-tf32,ok,dv,0.00193,1.788e-07,64×128
1024,64,128,float32,fp32-tf32,ok,dg,0.001531,4.768e-07,64×128
1024,64,128,float32,fp32-tf32,ok,dbeta,0.002217,1.788e-07,64×128
4096,64,64,float32,fp32-tf32,ok,fwd out,0.001704,1.192e-07,64×64
4096,64,64,float32,fp32-tf32,ok,fwd state,0.0009075,5.96e-08,64×64
4096,64,64,float32,fp32-tf32,ok,dq,0.001381,1.192e-07,64×64
4096,64,64,float32,fp32-tf32,ok,dk,0.001835,2.98e-07,64×64
4096,64,64,float32,fp32-tf32,ok,dv,0.002207,1.192e-07,64×64
4096,64,64,float32,fp32-tf32,ok,dg,0.001789,4.768e-07,64×64
4096,64,64,float32,fp32-tf32,ok,dbeta,0.001807,1.788e-07,64×64
4096,128,128,float32,fp32-tf32,ok,fwd out,0.001611,5.96e-08,128×128
4096,128,128,float32,fp32-tf32,ok,fwd state,0.0009038,5.96e-08,128×128
4096,128,128,float32,fp32-tf32,ok,dq,0.001635,5.96e-08,128×128
4096,128,128,float32,fp32-tf32,ok,dk,0.001598,1.192e-07,128×128
4096,128,128,float32,fp32-tf32,ok,dv,0.001916,0.0,128×128
4096,128,128,float32,fp32-tf32,ok,dg,0.001897,4.768e-07,128×128
4096,128,128,float32,fp32-tf32,ok,dbeta,0.002175,2.384e-07,128×128
4096,64,128,float32,fp32-tf32,ok,fwd out,0.001624,0.0,64×128
4096,64,128,float32,fp32-tf32,ok,fwd state,0.0009267,0.0,64×128
4096,64,128,float32,fp32-tf32,ok,dq,0.00161,1.192e-07,64×128
4096,64,128,float32,fp32-tf32,ok,dk,0.001478,2.384e-07,64×128
4096,64,128,float32,fp32-tf32,ok,dv,0.002034,1.788e-07,64×128
4096,64,128,float32,fp32-tf32,ok,dg,0.001741,5.96e-07,64×128
4096,64,128,float32,fp32-tf32,ok,dbeta,0.002091,2.384e-07,64×128
256,64,64,bfloat16,bf16,ok,fwd out,0.005748,6.676e-06,64×64
256,64,64,bfloat16,bf16,ok,fwd state,0.004601,4.232e-06,64×64
256,64,64,bfloat16,bf16,ok,dq,0.006061,9.358e-06,64×64
256,64,64,bfloat16,bf16,ok,dk,0.007042,1.132e-05,64×64
256,64,64,bfloat16,bf16,ok,dv,0.006711,8.285e-06,64×64
256,64,64,bfloat16,bf16,ok,dg,0.00454,7.033e-06,64×64
256,64,64,bfloat16,bf16,ok,dbeta,0.003758,5.841e-06,64×64
256,128,128,bfloat16,bf16,ok,fwd out,0.004603,6.437e-06,128×128
256,128,128,bfloat16,bf16,ok,fwd state,0.003877,4.053e-06,128×128
256,128,128,bfloat16,bf16,ok,dq,0.004739,9.12e-06,128×128
256,128,128,bfloat16,bf16,ok,dk,0.005587,1.085e-05,128×128
256,128,128,bfloat16,bf16,ok,dv,0.004566,7.868e-06,128×128
256,128,128,bfloat16,bf16,ok,dg,0.003069,6.795e-06,128×128
256,128,128,bfloat16,bf16,ok,dbeta,0.003047,5.722e-06,128×128
256,64,128,bfloat16,bf16,ok,fwd out,0.004466,6.795e-06,64×128
256,64,128,bfloat16,bf16,ok,fwd state,0.003779,4.172e-06,64×128
256,64,128,bfloat16,bf16,ok,dq,0.00463,9.358e-06,64×128
256,64,128,bfloat16,bf16,ok,dk,0.004525,1.127e-05,64×128
256,64,128,bfloat16,bf16,ok,dv,0.00641,8.166e-06,64×128
256,64,128,bfloat16,bf16,ok,dg,0.004546,7.868e-06,64×128
256,64,128,bfloat16,bf16,ok,dbeta,0.00315,5.722e-06,64×128
1024,64,64,bfloat16,bf16,ok,fwd out,0.006342,6.914e-06,64×64
1024,64,64,bfloat16,bf16,ok,fwd state,0.005588,4.172e-06,64×64
1024,64,64,bfloat16,bf16,ok,dq,0.005525,9.596e-06,64×64
1024,64,64,bfloat16,bf16,ok,dk,0.00578,1.144e-05,64×64
1024,64,64,bfloat16,bf16,ok,dv,0.006757,8.404e-06,64×64
1024,64,64,bfloat16,bf16,ok,dg,0.004261,7.689e-06,64×64
1024,64,64,bfloat16,bf16,ok,dbeta,0.004039,5.782e-06,64×64
1024,128,128,bfloat16,bf16,ok,fwd out,0.006589,6.616e-06,128×128
1024,128,128,bfloat16,bf16,ok,fwd state,0.00323,4.113e-06,128×128
1024,128,128,bfloat16,bf16,ok,dq,0.004032,9.418e-06,128×128
1024,128,128,bfloat16,bf16,ok,dk,0.005128,1.103e-05,128×128
1024,128,128,bfloat16,bf16,ok,dv,0.008547,8.225e-06,128×128
1024,128,128,bfloat16,bf16,ok,dg,0.00427,8.047e-06,128×128
1024,128,128,bfloat16,bf16,ok,dbeta,0.004424,5.543e-06,128×128
1024,64,128,bfloat16,bf16,ok,fwd out,0.006558,7.033e-06,64×128
1024,64,128,bfloat16,bf16,ok,fwd state,0.004326,4.292e-06,64×128
1024,64,128,bfloat16,bf16,ok,dq,0.004184,9.656e-06,64×128
1024,64,128,bfloat16,bf16,ok,dk,0.005282,1.15e-05,64×128
1024,64,128,bfloat16,bf16,ok,dv,0.006135,8.464e-06,64×128
