### max_rel, fp32-ieee, units of 1e-4

| T | Dk | Dv | fwd out | fwd state | dq | dk | dv | dg | dbeta |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 256 | 64 | 64 | 1.069 | 0.685 | 1.343 | 1.691 | 1.708 | 1.183 | 1.476 |
| 256 | 64 | 128 | 0.903 | 0.839 | 0.912 | 1.730 | 1.571 | 0.890 | 1.350 |
| 256 | 128 | 128 | 0.746 | 0.475 | 0.829 | 1.277 | 1.218 | 0.447 | 1.061 |
| 1024 | 64 | 64 | 1.073 | 0.724 | 1.015 | 1.430 | 1.622 | 1.100 | 1.463 |
| 1024 | 64 | 128 | 1.015 | 0.992 | 1.629 | 1.114 | 1.741 | 0.722 | 2.037 |
| 1024 | 128 | 128 | 0.780 | 0.392 | 0.740 | 1.078 | 1.031 | 0.761 | 1.189 |
| 4096 | 64 | 64 | 1.101 | 0.706 | 1.172 | 1.430 | 1.528 | 0.898 | 1.205 |
| 4096 | 64 | 128 | 1.331 | 0.620 | 1.660 | 1.149 | 1.343 | 1.005 | 1.175 |
| 4096 | 128 | 128 | 0.928 | 0.510 | 0.876 | 1.236 | 1.127 | 0.742 | 0.912 |

### 1-cos, fp32-ieee, in ulps of 2^-24

| T | Dk | Dv | fwd out | fwd state | dq | dk | dv | dg | dbeta |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 256 | 64 | 64 | 0 | 0 | 0 | 0 | -2 | 0 | 0 |
| 256 | 64 | 128 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |
| 256 | 128 | 128 | 0 | 0 | 2 | 0 | 2 | 0 | 0 |
| 1024 | 64 | 64 | 0 | 1 | 0 | 1 | 2 | 0 | 1 |
| 1024 | 64 | 128 | 0 | 1 | 0 | -2 | 0 | 0 | 0 |
| 1024 | 128 | 128 | 0 | 0 | 0 | 1 | 1 | 1 | -2 |
| 4096 | 64 | 64 | 0 | 0 | 0 | 0 | -2 | 0 | 0 |
| 4096 | 64 | 128 | -2 | 0 | 0 | 0 | 0 | 1 | 1 |
| 4096 | 128 | 128 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |

### ratio max_rel(TF32) / max_rel(ieee)

| T | Dk | Dv | fwd out | fwd state | dq | dk | dv | dg | dbeta |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 256 | 64 | 64 | 13.8 | 14.2 | 10.5 | 10.3 | 10.6 | 14.7 | 13.3 |
| 256 | 64 | 128 | 16.5 | 13.5 | 16.5 | 10.6 | 12.1 | 18.5 | 12.7 |
| 256 | 128 | 128 | 20.6 | 16.9 | 17.5 | 11.5 | 17.3 | 31.4 | 16.5 |
| 1024 | 64 | 64 | 16.7 | 11.8 | 14.0 | 11.9 | 12.6 | 14.8 | 13.6 |
| 1024 | 64 | 128 | 15.0 | 9.3 | 9.7 | 13.7 | 11.1 | 21.2 | 10.9 |
| 1024 | 128 | 128 | 21.9 | 21.3 | 22.5 | 13.3 | 21.6 | 23.3 | 16.2 |
| 4096 | 64 | 64 | 15.5 | 12.9 | 11.8 | 12.8 | 14.4 | 19.9 | 15.0 |
| 4096 | 64 | 128 | 12.2 | 14.9 | 9.7 | 12.9 | 15.1 | 17.3 | 17.8 |
| 4096 | 128 | 128 | 17.4 | 17.7 | 18.7 | 12.9 | 17.0 | 25.6 | 23.8 |
